City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Saint-Philippe,RE,2022-08-14 00:42:35,-21.3585,55.7679,63.21,81,18,11.92
103,Rapid City,US,2022-08-14 00:42:35,44.0805,-103.231,91.29,37,0,13.0
104,Khatanga,RU,2022-08-14 00:42:36,71.9667,102.5,56.79,47,0,14.5
105,Chokurdakh,RU,2022-08-14 00:42:36,70.6333,147.9167,43.61,67,67,8.99
106,Vila Franca Do Campo,PT,2022-08-14 00:42:37,37.7167,-25.4333,73.81,94,18,3.36
107,Katobu,ID,2022-08-14 00:42:37,-4.9408,122.5276,81.25,72,19,7.54
108,Andapa,MG,2022-08-14 00:42:38,-14.65,49.65,57.6,97,49,1.81
109,Nantucket,US,2022-08-14 00:42:38,41.2835,-70.0995,66.31,69,0,5.75
110,Gao,ML,2022-08-14 00:42:39,16.6362,1.637,94.08,25,100,7.96
111,Saskylakh,RU,2022-08-14 00:42:40,71.9167,114.0833,50.95,54,75,5.23
112,Ratnagiri,IN,2022-08-14 00:42:41,16.9833,73.3,78.15,88,100,13.82
113,Narsaq,GL,2022-08-14 00:42:42,60.9167,-46.05,46.62,98,100,3.49
114,Sao Filipe,CV,2022-08-14 00:42:43,14.8961,-24.4956,75.6,87,100,11.32
115,Kohtla-Jarve,EE,2022-08-14 00:42:45,59.3986,27.2731,62.4,91,56,3.6
116,Hilo,US,2022-08-14 00:42:45,19.7297,-155.09,90.28,78,100,9.22
117,Miyako,JP,2022-08-14 00:42:46,39.6367,141.9525,75.78,82,63,7.49
118,Alamosa,US,2022-08-14 00:42:46,37.4695,-105.87,80.58,32,0,16.11
119,Cayenne,GF,2022-08-14 00:42:46,4.9333,-52.3333,81.09,1,0,2.3
120,Puerto Escondido,MX,2022-08-14 00:42:47,15.85,-97.0667,83.23,65,75,5.75
121,Kaeo,NZ,2022-08-14 00:42:47,-35.1,173.7833,58.42,60,100,3.62
122,Port Hawkesbury,CA,2022-08-14 00:42:48,45.6169,-61.3485,68.59,95,40,6.91
123,Lavrentiya,RU,2022-08-14 00:42:48,65.5833,-171.0,40.86,72,100,13.71
124,Cape Town,ZA,2022-08-14 00:40:05,-33.9258,18.4232,55.38,78,75,5.01
125,Mitsamiouli,KM,2022-08-14 00:42:49,-11.3847,43.2844,74.46,75,0,6.22
126,Upernavik,GL,2022-08-14 00:42:49,72.7868,-56.1549,44.65,73,100,3.87
127,Bushehr,IR,2022-08-14 00:42:50,28.9684,50.8385,91.49,58,0,6.91
128,Mayo,US,2022-08-14 00:38:42,38.8876,-76.5119,75.61,71,0,5.75
129,Guarapari,BR,2022-08-14 00:42:50,-20.6667,-40.4975,69.89,67,19,5.37
130,Ramsi,EE,2022-08-14 00:42:51,58.3066,25.5416,59.09,86,61,3.04
131,La Ronge,CA,2022-08-14 00:42:51,55.1001,-105.2842,73.62,46,40,10.36
132,Deputatskiy,RU,2022-08-14 00:42:52,69.3,139.9,37.54,92,100,5.14
133,Hithadhoo,MV,2022-08-14 00:42:52,-0.6,73.0833,81.82,72,99,2.26
134,Sao Jose Da Coroa Grande,BR,2022-08-14 00:42:52,-8.8978,-35.1478,74.66,74,48,12.17
135,Ixtapa,MX,2022-08-14 00:43:53,20.7,-105.2,86.23,74,75,5.75
136,Port Macquarie,AU,2022-08-14 00:43:53,-31.4333,152.9167,63.9,35,1,7.14
137,East London,ZA,2022-08-14 00:43:54,-33.0153,27.9116,56.28,83,0,7.96
138,Leningradskiy,RU,2022-08-14 00:43:55,69.3833,178.4167,36.07,77,72,5.5
139,Nikolskoye,RU,2022-08-14 00:43:55,59.7035,30.7861,60.8,71,85,3.24
140,Bonthe,SL,2022-08-14 00:43:56,7.5264,-12.505,76.91,82,100,10.67
141,Peniche,PT,2022-08-14 00:43:56,39.3558,-9.3811,65.28,90,64,9.48
142,Sao Joao Da Barra,BR,2022-08-14 00:43:56,-21.6403,-41.0511,68.9,64,0,13.15
