City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Faya,SA,18.3851,42.4509,69.91,82,99,8.08,overcast clouds
105,Mayo,US,38.8876,-76.5119,85.66,55,13,5.01,few clouds
106,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,11.5,broken clouds
107,Penzance,GB,50.1186,-5.5371,81.28,65,83,9.84,broken clouds
108,Shelburne,CA,44.0787,-80.2041,78.91,33,19,8.34,few clouds
109,Severo-Kurilsk,RU,50.6789,156.125,54.43,98,100,15.79,overcast clouds
110,Ballina,AU,-28.8667,153.5667,42.84,70,4,9.69,clear sky
111,Wanning,CN,18.8003,110.3967,80.8,86,10,4.85,clear sky
112,Puerto Quijarro,BO,-17.7833,-57.7667,97.41,20,0,9.06,clear sky
113,Kasama,ZM,-10.2129,31.1808,69.93,27,2,3.13,clear sky
114,Ilulissat,GL,69.2167,-51.1,42.12,89,100,6.38,light rain
115,Esperance,AU,-33.8667,121.9,52.29,81,0,6.71,clear sky
116,Jamestown,US,42.097,-79.2353,79.02,39,86,1.99,overcast clouds
117,Hithadhoo,MV,-0.6,73.0833,83.26,71,92,6.08,overcast clouds
118,Fortuna,US,40.5982,-124.1573,63.36,95,100,4.61,overcast clouds
119,Varhaug,NO,58.6147,5.6457,78.35,76,57,15.14,broken clouds
120,Dromolaxia,CY,34.8761,33.586,87.04,69,0,9.22,clear sky
121,Novyy Urengoy,RU,66.0833,76.6333,49.3,95,100,19.42,light rain
122,Avarua,CK,-21.2078,-159.775,69.85,83,100,2.3,overcast clouds
123,Vardo,NO,70.3705,31.1107,53.58,62,30,20.71,scattered clouds
124,Juba,SS,4.8517,31.5825,70.5,94,100,4.05,light rain
125,Behshahr,IR,36.6923,53.5526,80.55,63,0,3.13,clear sky
126,New Norfolk,AU,-42.7826,147.0587,51.93,85,100,1.99,overcast clouds
127,Abalak,RU,58.1286,68.5944,50.63,82,16,7.31,few clouds
128,Taltal,CL,-25.4,-70.4833,60.19,68,3,6.26,clear sky
129,Correntina,BR,-13.3433,-44.6367,88.41,22,1,6.49,clear sky
130,Katobu,ID,-4.9408,122.5276,72.14,90,62,3.85,broken clouds
131,Mocuba,MZ,-16.8392,36.9856,76.75,32,0,4.36,clear sky
132,Bengkulu,ID,-3.8004,102.2655,76.5,91,100,4.21,overcast clouds
133,Kropotkin,RU,45.4375,40.5756,88.45,25,72,1.79,broken clouds
134,Rio Gallegos,AR,-51.6226,-69.2181,42.85,52,0,16.11,clear sky
135,Lasa,IT,46.6166,10.7002,74.7,62,100,4.7,overcast clouds
136,Kavieng,PG,-2.5744,150.7967,80.53,74,99,8.28,overcast clouds
137,Pimentel,PE,-6.8367,-79.9342,68.29,68,20,11.5,few clouds
138,Carnarvon,AU,-24.8667,113.6333,66.87,73,0,8.12,clear sky
139,Bilibino,RU,68.0546,166.4372,43.61,86,99,5.39,overcast clouds
140,Ust-Maya,RU,60.4167,134.5333,55.81,83,90,2.98,overcast clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,54,9,16.58,clear sky
